id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_91_handlerunllm","HandleRunLlm → SortByPageNumber","HandleRunLlm → SortByPageNumber","cross_community",4,"['comm_81','comm_80']","Function:frontend/app/(dashboard)/dashboard/editor/[id]/page.tsx:handleRunLlm","Function:frontend/app/(dashboard)/dashboard/editor/[id]/page.tsx:sortByPageNumber"
"proc_92_login","Login → Create_refresh_token","Login → Create_refresh_token","intra_community",4,"['comm_12']","Function:backend/app/api/v1/endpoints/auth.py:login","Function:backend/app/core/security.py:create_refresh_token"
"proc_93_keep_correction","Keep_correction → _kept_corrections","Keep_correction → _kept_corrections","cross_community",4,"['comm_13','comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:keep_correction","Function:backend/app/services/llm_correction_service.py:_kept_corrections"
"proc_94_undo_correction","Undo_correction → _kept_corrections","Undo_correction → _kept_corrections","cross_community",4,"['comm_13','comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:undo_correction","Function:backend/app/services/llm_correction_service.py:_kept_corrections"
"proc_95_bulk_review","Bulk_review → _kept_corrections","Bulk_review → _kept_corrections","cross_community",4,"['comm_13','comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:bulk_review","Function:backend/app/services/llm_correction_service.py:_kept_corrections"
"proc_96_export_docx","Export_docx → _paragraphs","Export_docx → _paragraphs","cross_community",4,"['comm_16','comm_66']","Function:backend/app/api/v1/endpoints/exports.py:export_docx","Function:backend/app/services/export_service.py:_paragraphs"
"proc_97_export_pdf","Export_pdf → _paragraphs","Export_pdf → _paragraphs","cross_community",4,"['comm_16','comm_66']","Function:backend/app/api/v1/endpoints/exports.py:export_pdf","Function:backend/app/services/export_service.py:_paragraphs"
"proc_98_loginpage","LoginPage → Cn","LoginPage → Cn","cross_community",4,"['comm_75','comm_78']","Function:frontend/app/(auth)/login/page.tsx:LoginPage","Function:frontend/lib/utils.ts:cn"
"proc_99_handledenoise","HandleDenoise → SortByPageNumber","HandleDenoise → SortByPageNumber","cross_community",4,"['comm_81','comm_80']","Function:frontend/app/(dashboard)/dashboard/editor/[id]/page.tsx:handleDenoise","Function:frontend/app/(dashboard)/dashboard/editor/[id]/page.tsx:sortByPageNumber"
"proc_100_dashboardheader","DashboardHeader → Cn","DashboardHeader → Cn","cross_community",4,"['comm_86','comm_78']","Function:frontend/components/dashboard/layout.tsx:DashboardHeader","Function:frontend/lib/utils.ts:cn"
"proc_101_dashboardheader","DashboardHeader → SetOpen","DashboardHeader → SetOpen","intra_community",4,"['comm_86']","Function:frontend/components/dashboard/layout.tsx:DashboardHeader","Function:frontend/components/ui/sidebar.tsx:setOpen"
"proc_102_denoise_page_task","Denoise_page_task → Build_generator","Denoise_page_task → Build_generator","intra_community",4,"['comm_3']","Function:backend/app/workers/denoise_task.py:denoise_page_task","Function:backend/app/ai/denoising/model_loader.py:build_generator"
"proc_103_llm_correct_page_tas","Llm_correct_page_task → Build_prompt","Llm_correct_page_task → Build_prompt","intra_community",4,"['comm_4']","Function:backend/app/workers/llm_correction_task.py:llm_correct_page_task","Function:backend/app/ai/llm/prompts/ocr_correction_prompt.py:build_prompt"
"proc_104_llm_correct_page_tas","Llm_correct_page_task → _build_llm","Llm_correct_page_task → _build_llm","intra_community",4,"['comm_4']","Function:backend/app/workers/llm_correction_task.py:llm_correct_page_task","Function:backend/app/ai/llm/chains/ocr_correction_chain.py:_build_llm"
"proc_105_toast","Toast → AddToRemoveQueue","Toast → AddToRemoveQueue","intra_community",4,"['comm_69']","Function:frontend/components/ui/use-toast.ts:toast","Function:frontend/components/ui/use-toast.ts:addToRemoveQueue"
"proc_106_toast","Toast → AddToRemoveQueue","Toast → AddToRemoveQueue","intra_community",4,"['comm_71']","Function:frontend/hooks/use-toast.ts:toast","Function:frontend/hooks/use-toast.ts:addToRemoveQueue"
"proc_107_login","Login → WriteCookie","Login → WriteCookie","intra_community",4,"['comm_74']","Function:frontend/lib/auth-store.ts:login","Function:frontend/lib/api/client.ts:writeCookie"
"proc_108_login","Login → ClearCookie","Login → ClearCookie","intra_community",4,"['comm_74']","Function:frontend/lib/auth-store.ts:login","Function:frontend/lib/api/client.ts:clearCookie"
"proc_109_register","Register → WriteCookie","Register → WriteCookie","intra_community",4,"['comm_74']","Function:frontend/lib/auth-store.ts:register","Function:frontend/lib/api/client.ts:writeCookie"
"proc_110_register","Register → ClearCookie","Register → ClearCookie","intra_community",4,"['comm_74']","Function:frontend/lib/auth-store.ts:register","Function:frontend/lib/api/client.ts:clearCookie"
"proc_111_timeout","Timeout → AddToRemoveQueue","Timeout → AddToRemoveQueue","intra_community",4,"['comm_69']","Function:frontend/components/ui/use-toast.ts:timeout","Function:frontend/components/ui/use-toast.ts:addToRemoveQueue"
"proc_112_update","Update → AddToRemoveQueue","Update → AddToRemoveQueue","intra_community",4,"['comm_69']","Function:frontend/components/ui/use-toast.ts:update","Function:frontend/components/ui/use-toast.ts:addToRemoveQueue"
"proc_113_timeout","Timeout → AddToRemoveQueue","Timeout → AddToRemoveQueue","intra_community",4,"['comm_71']","Function:frontend/hooks/use-toast.ts:timeout","Function:frontend/hooks/use-toast.ts:addToRemoveQueue"
"proc_114_update","Update → AddToRemoveQueue","Update → AddToRemoveQueue","intra_community",4,"['comm_71']","Function:frontend/hooks/use-toast.ts:update","Function:frontend/hooks/use-toast.ts:addToRemoveQueue"
"proc_115_historypage","HistoryPage → Cn","HistoryPage → Cn","cross_community",3,"['comm_82','comm_77','comm_78']","Function:frontend/app/(dashboard)/dashboard/history/page.tsx:HistoryPage","Function:frontend/lib/utils.ts:cn"
"proc_116_settingspage","SettingsPage → Cn","SettingsPage → Cn","cross_community",3,"['comm_83','comm_87','comm_78']","Function:frontend/app/(dashboard)/dashboard/settings/page.tsx:SettingsPage","Function:frontend/lib/utils.ts:cn"
"proc_117_registerpage","RegisterPage → Cn","RegisterPage → Cn","cross_community",3,"['comm_75','comm_78']","Function:frontend/app/(auth)/register/page.tsx:RegisterPage","Function:frontend/lib/utils.ts:cn"
"proc_118_admindashboardpage","AdminDashboardPage → Cn","AdminDashboardPage → Cn","cross_community",3,"['comm_79','comm_86','comm_78']","Function:frontend/app/(dashboard)/admin/page.tsx:AdminDashboardPage","Function:frontend/lib/utils.ts:cn"
"proc_119_dashboardpage","DashboardPage → Cn","DashboardPage → Cn","cross_community",3,"['comm_77','comm_86','comm_78']","Function:frontend/app/(dashboard)/dashboard/page.tsx:DashboardPage","Function:frontend/lib/utils.ts:cn"
